state(1=HI,0=LO),samples,start_sample
0 3 503874
1 4 503877
0 7 503881
1 3 503888
0 7 503891
1 3 503898
0 4 503901
1 3 503905
0 14 503908
1 4 503922
0 10 503926
1 4 503936
0 10 503940
1 4 503950
0 3 503954
1 4 503957
0 3 503961
1 4 503964
0 3 503968
1 4 503971
0 7 503975
1 7 503982
0 3 503989
1 4 503992
0 7 503996
1 7 504003
0 7 504010
1 7 504017
0 3 504024
1 4 504027
0 3 504031
1 4 504034
0 3 504038
1 3 504041
0 7 504044
1 7 504051
0 4 504058
1 3 504062
0 7 504065
1 11 504072
0 3 504083
1 7 504086
0 4 504093
1 3 504097
0 4 504100
1 7 504104
0 7 504111
1 10 504118
0 4 504128
1 3 504132
0 4 504135
1 3 504139
0 4 504142
1 3 504146
0 7 504149
1 7 504156
0 4 504163
1 3 504167
0 21 504170
1 3 504191
0 7 504194
1 4 504201
0 17 504205
1 11 504222
0 3 504233
1 4 504236
0 3 504240
1 4 504243
0 7 504247
1 3 504254
0 4 504257
1 7 504261
0 3 504268
1 4 504271
0 17 504275
1 11 504292
0 3 504303
1 4 504306
0 3 504310
1 4 504313
0 3 504317
1 4 504320
0 7 504324
1 6 504331
0 4 504337
1 3 504341
0 11 504344
1 7 504355
0 3 504362
1 7 504365
0 4 504372
1 3 504376
0 4 504379
1 3 504383
0 7 504386
1 4 504393
0 3 504397
1 7 504400
0 4 504407
1 3 504411
0 7 504414
1 11 504421
0 3 504432
1 7 504435
0 4 504442
1 3 504446
0 4 504449
1 3 504453
0 4 504456
1 3 504460
0 7 504463
1 7 504470
0 3 504477
1 4 504480
0 21 504484
1 3 504505
0 7 504508
1 4 504515
0 10 504519
1 4 504529
0 3 504533
1 11 504536
0 3 504547
1 4 504550
0 7 504554
1 3 504561
0 7 504564
1 11 504571
0 3 504582
1 4 504585
0 3 504589
1 4 504592
0 14 504596
1 7 504610
0 3 504617
1 4 504620
0 3 504624
1 7 504627
0 10 504634
1 7 504644
0 4 504651
1 3 504655
0 4 504658
1 3 504662
0 4 504665
1 3 504669
0 7 504672
1 7 504679
0 4 504686
1 3 504690
0 11 504693
1 7 504704
0 3 504711
1 4 504714
0 7 504718
1 3 504725
0 21 504728
1 4 504749
0 7 504753
1 3 504760
0 4 504763
1 3 504767
0 7 504770
1 3 504777
0 4 504780
1 7 504784
0 3 504791
1 4 504794
0 10 504798
1 4 504808
0 3 504812
1 11 504815
0 3 504826
1 4 504829
0 3 504833
1 4 504836
0 3 504840
1 4 504843
0 7 504847
1 7 504854
0 3 504861
1 4 504864
0 7 504868
1 3 504875
0 7 504878
1 11 504885
0 3 504896
1 4 504899
0 3 504903
1 7 504906
0 7 504913
1 10 504920
0 4 504930
1 3 504934
0 4 504937
1 3 504941
0 4 504944
1 14 504948
0 7 504962
1 3 504969
0 4 504972
1 3 504976
0 4 504979
1 3 504983
0 4 504986
1 7 504990
0 7 504997
1 3 505004
0 18 505007
1 7 505025
0 7 505032
1 3 505039
0 21 505042
1 3 505063
0 7 505066
1 4 505073
0 14 505077
1 3 505091
0 4 505094
1 3 505098
0 7 505101
1 4 505108
0 10 505112
1 4 505122
0 3 505126
1 7 505129
0 7 505136
1 4 505143
0 21 505147
1 3 505168
0 7 505171
1 4 505178
